"Campaign Name","Ad Set Name",Gender,"Delivery Status","Delivery Level",Reach,Impressions,Frequency,"Result Type",Results,"Amount Spent (EUR)","Cost per Result",Starts,Ends,"Reporting Starts","Reporting Ends"
"Automated Discrimination - FR - Trucks2","Truck Driver - gendered",male,not_delivering,adset,1825,1836,1.0060273972603,"Link Clicks",141,3.71,0.026312056737589,2020-09-02,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR - Trucks2","Truck Driver - feminine",male,not_delivering,adset,1756,1764,1.004555808656,"Link Clicks",136,3.67,0.026985294117647,2020-09-02,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - DE","DE - Germany - Nurse",male,not_delivering,adset,1308,1344,1.0275229357798,"Link Clicks",17,3.57,0.21,2020-08-26,2020-08-27,2020-08-26,2020-10-15
"Automated Discrimination - FR",Hairdresser,female,not_delivering,adset,1322,1336,1.0105900151286,"Link Clicks",83,3.4,0.040963855421687,2020-08-30,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - incl. FR","Truck Driver",male,not_delivering,adset,1048,1063,1.0143129770992,"Link Clicks",29,3.24,0.11172413793103,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated discrimination CH2","Sales low",male,inactive,adset,730,772,1.0575342465753,"Link Clicks",5,3.19,0.638,2020-09-24,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - ES","Legal Counsel",female,not_delivering,adset,2494,2899,1.1623897353649,"Link Clicks",21,3.17,0.15095238095238,2020-09-11,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH",Hairdresser,male,not_delivering,adset,614,672,1.0944625407166,"Link Clicks",32,3.11,0.0971875,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - incl. FR","Preschool teacher",female,not_delivering,adset,900,906,1.0066666666667,"Link Clicks",18,3.08,0.17111111111111,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated discrimination CH2","Sales high",male,inactive,adset,770,927,1.2038961038961,"Link Clicks",9,3.05,0.33888888888889,2020-09-24,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - PL",Hairdresser,female,not_delivering,adset,2416,2461,1.0186258278146,"Link Clicks",158,2.98,0.018860759493671,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - IG","Truck Driver",male,not_delivering,adset,883,886,1.0033975084938,"Link Clicks",9,2.96,0.32888888888889,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - ES","Truck Driver",male,not_delivering,adset,1603,1656,1.0330630068621,"Link Clicks",88,2.93,0.033295454545455,2020-09-11,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH","Legal Counsel",male,not_delivering,adset,748,799,1.0681818181818,"Link Clicks",9,2.81,0.31222222222222,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR","Legal Counsel",female,not_delivering,adset,1623,1631,1.0049291435613,"Link Clicks",21,2.74,0.13047619047619,2020-08-30,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - PL","Legal Counsel",female,not_delivering,adset,2366,2404,1.0160608622147,"Link Clicks",61,2.74,0.044918032786885,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - ES",Nurse,female,not_delivering,adset,1500,1512,1.008,"Link Clicks",55,2.73,0.049636363636364,2020-09-11,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR","Machine Learning",female,not_delivering,adset,1209,1223,1.0115798180314,"Link Clicks",34,2.72,0.08,2020-08-30,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - IG",Hairdresser,male,not_delivering,adset,557,571,1.0251346499102,"Link Clicks",9,2.69,0.29888888888889,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - IG","Preschool teacher",female,not_delivering,adset,616,618,1.0032467532468,,,2.66,,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - IG","Machine Learning",male,not_delivering,adset,952,953,1.0010504201681,,,2.58,,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR - Trucks2","Truck Driver - image-road",female,not_delivering,adset,1464,1477,1.0088797814208,"Link Clicks",31,2.58,0.083225806451613,2020-09-02,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - incl. FR",Nurse,female,not_delivering,adset,707,712,1.007072135785,"Link Clicks",14,2.51,0.17928571428571,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - ES","Machine Learning",male,not_delivering,adset,1988,2286,1.1498993963783,"Link Clicks",12,2.5,0.20833333333333,2020-09-11,Ongoing,2020-08-26,2020-10-15
"Automated discrimination CH2","Analyses high",female,inactive,adset,507,514,1.0138067061144,"Link Clicks",7,2.48,0.35428571428571,2020-09-24,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR","Machine Learning",male,not_delivering,adset,1102,1119,1.0154264972777,"Link Clicks",28,2.32,0.082857142857143,2020-08-30,Ongoing,2020-08-26,2020-10-15
"Automated discrimination CH2","Analyses low",female,inactive,adset,438,440,1.0045662100457,"Link Clicks",5,2.3,0.46,2020-09-24,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - PL","Machine Learning",male,not_delivering,adset,1811,1844,1.0182219768084,"Link Clicks",90,2.28,0.025333333333333,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - IG","Legal Counsel",male,not_delivering,adset,724,727,1.0041436464088,"Link Clicks",2,2.28,1.14,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR","Legal Counsel",male,not_delivering,adset,1359,1366,1.0051508462104,"Link Clicks",16,2.11,0.131875,2020-08-30,Ongoing,2020-08-26,2020-10-15
"Automated discrimination CH2","Analyses low",male,inactive,adset,392,400,1.0204081632653,"Link Clicks",4,2.08,0.52,2020-09-24,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - IG",Nurse,female,not_delivering,adset,489,489,1,"Link Clicks",2,2.05,1.025,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - ES","Machine Learning",female,not_delivering,adset,1711,2029,1.1858562244302,"Link Clicks",8,2.04,0.255,2020-09-11,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - PL","Machine Learning",female,not_delivering,adset,1396,1417,1.0150429799427,"Link Clicks",111,2.04,0.018378378378378,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR - Trucks2","Truck Driver - image-road",male,not_delivering,adset,1310,1320,1.0076335877863,"Link Clicks",30,2,0.066666666666667,2020-09-02,Ongoing,2020-08-26,2020-10-15
"Automated discrimination CH2","Analyses high",male,inactive,adset,400,405,1.0125,"Link Clicks",4,1.99,0.4975,2020-09-24,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - incl. FR","Machine Learning",male,not_delivering,adset,832,865,1.0396634615385,"Link Clicks",12,1.94,0.16166666666667,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - incl. FR",Hairdresser,female,not_delivering,adset,560,569,1.0160714285714,"Link Clicks",14,1.89,0.135,2020-09-04,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH","Truck Driver",female,not_delivering,adset,385,400,1.038961038961,"Link Clicks",13,1.7318365180467,0.1332181936959,2020-08-31,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - FR",Hairdresser,male,not_delivering,adset,697,711,1.0200860832138,"Link Clicks",44,1.73,0.039318181818182,2020-08-30,Ongoing,2020-08-26,2020-10-15
"Automated Discrimination - CH - incl. FR","Legal Counsel",male,not_delivering,adset,604,617,1.0215231788079,"Link Clicks",10,1.67,0.167,2020-09-04,Ongoing,2020-08-26,2020-10-15
